25 20
##############
#............############
#...s.######............#
#.....#    #####.......@#
#.....#        ####.....#
#.....#######     #.....#
#...........#     #.s...#
#.....#####.#     #.c...#
#####.#   # #     ##..###
   #..#   ###     #..##
   #.###          ##..#
   #...#         ###.c###
  ###..####      #......#
  #...s...#      #..c...#
  #.......#      #......#
  #.s.s...#      #......#
  #.......#      #......#
  #.s...s.########......#
  #.........ic..f.......#
  #######################
